KB Number,Short Description,Knowledge Base,Category,Article Content,Author,Workflow State,Valid To,Created On
KB0010029,Excel and Spreadsheet Best Practices,Business Applications & Productivity Knowledge Base,Applications,Working with spreadsheets: 1. Save files in .xlsx format. 2. Use named ranges for clarity. 3. Validate data entry. 4. Create backups before major changes. 5. Use formulas instead of manual calculations. 6. Document complex logic. 7. Avoid circular references. Test spreadsheets thoroughly before sharing.,Emily Davis,Published,2026-08-25 00:00:00,2024-08-25 00:00:00
KB0010030,Email Signature and Configuration,Business Applications & Productivity Knowledge Base,Applications,"Setting up email signature: 1. Open Outlook Settings. 2. Go to Mail > Signatures. 3. Create signature with name, title, phone. 4. Add company logo if available. 5. Apply to new messages. 6. Use professional formatting. 7. Include important contact info. Signatures are required for all external emails.",Mike Chen,Archived,2026-11-17 00:00:00,2024-11-17 00:00:00
KB0010031,Guest Network Access Procedures,Information Security & Compliance Knowledge Base,Security,For visitors and contractors: 1. Request guest account from IT. 2. Provide visitor name and duration. 3. Guest receives temporary credentials. 4. Guest connected to restricted network. 5. Access limited to specific resources. 6. Account disabled automatically after expiry. Visitors must sign AUP before access.,Robert Brown,Draft,2026-07-18 00:00:00,2024-07-18 00:00:00
KB0010032,Data Retention and Deletion Policies,Corporate Policies & Governance Knowledge Base,Policies,Data management guidelines: 1. Retain data according to retention schedule. 2. Delete outdated information securely. 3. Use secure deletion tools. 4. Keep audit trail of deletions. 5. Never permanently delete confidential data without approval. 6. Archive important historical data. Non-compliance results in penalties.,Jennifer Taylor,Draft,2026-05-01 00:00:00,2024-05-01 00:00:00
KB0010033,Keyboard Shortcuts and Productivity Tips,Operational Best Practices & Productivity Knowledge Base,Best Practices,"Productivity shortcuts: Windows: Win+V (clipboard), Win+D (desktop), Ctrl+Shift+Esc (Task Manager). Office: Ctrl+Home (beginning), Ctrl+End (end), Ctrl+F5 (refresh). Email: Ctrl+1-9 (jump to folder), Ctrl+N (new message). Master these shortcuts to improve efficiency. Create custom shortcuts for frequently used tasks.",Robert Brown,Published,2026-04-10 00:00:00,2024-04-10 00:00:00
KB0010034,Monitoring and Alerts Configuration,IT Infrastructure & Endpoint Management Knowledge Base,IT Infrastructure,Setting up system alerts: 1. Enable Windows Defender alerts. 2. Configure email notifications. 3. Set alert frequency (daily/weekly). 4. Review alert summaries. 5. Respond to critical alerts immediately. 6. Archive resolved alerts. 7. Share alerts with team. Alerts help identify issues early.,Emily Davis,Published,2026-03-07 00:00:00,2024-03-07 00:00:00
KB0010035,Jira Troubleshooting,Business Applications & Productivity Knowledge Base,Applications,Steps: 1) Open Jira 2) Go to Settings 3) Select Security 4) Apply changes 5) Restart application.,John Smith,Draft,45483,45167
KB0010036,Access OneDrive via VPN,Enterprise Network & Connectivity Knowledge Base,Network,"Troubleshooting: Check logs at %APPDATA%/Outlook/logs, clear cache, reinstall if crash continues.",John Smith,Archived,46362,45670
KB0010037,Install Salesforce Client,Operational Best Practices & Productivity Knowledge Base,Best Practices,Policy: Work from Home — Employees must comply. Review annually.,Priya Kapoor,Published,46054,45815
KB0010038,Access Git via VPN,Operational Best Practices & Productivity Knowledge Base,Best Practices,Steps: 1) Open Git 2) Go to Settings 3) Select VPN 4) Apply changes 5) Restart application.,Priya Kapoor,Published,45292,45106
KB0010039,Printer Setup and Troubleshooting,Data Platforms & Database Operations Knowledge Base,Database,How-To: Navigate to ServiceNow > Self Service > VPN. Fill details and submit.,Robert Brown,Archived,45045,44957
KB0010040,Slack Troubleshooting,Human Resources Policies & Benefits Knowledge Base,HR Policies,Process: 1) Check connectivity 2) Update client 3) Verify credentials 4) Reboot device 5) Retry.,John Smith,Archived,45504,45006
KB0010041,Jira Troubleshooting,Data Platforms & Database Operations Knowledge Base,Database,Process: 1) Check connectivity 2) Update client 3) Verify credentials 4) Reboot device 5) Retry.,Arjun Mehta,Draft,45590,45478
KB0010042,Install Salesforce Client,Information Security & Compliance Knowledge Base,Security,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",David Wilson,Published,45879,45299
KB0010043,Printer Setup and Troubleshooting,IT Support & Troubleshooting Knowledge Base,Troubleshooting,Policy: Data Classification — Employees must comply. Review annually.,Robert Brown,Draft,46326,45756
KB0010044,Raise incident in ServiceNow,Business Applications & Productivity Knowledge Base,Applications,Process: 1) Check connectivity 2) Update client 3) Verify credentials 4) Reboot device 5) Retry.,Arjun Mehta,Published,45970,45614
KB0010045,Data Retention and Deletion Policies,Corporate Policies & Governance Knowledge Base,Policies,Steps: 1) Open Power BI 2) Go to Settings 3) Select Knowledge 4) Apply changes 5) Restart application.,Sarah Johnson,Draft,46218,46011
KB0010046,Configure Teams Notifications,ServiceNow Platform User Guide & How‑To Knowledge Base,How-To,Process: 1) Check connectivity 2) Update client 3) Verify credentials 4) Reboot device 5) Retry.,Sarah Johnson,Archived,45817,45574
KB0010047,Reset Confluence Password,Corporate Policies & Governance Knowledge Base,Policies,Policy: Acceptable Use — Employees must comply. Review annually.,Lisa Anderson,Published,46492,45862
KB0010048,Zoom Troubleshooting,Human Resources Policies & Benefits Knowledge Base,HR Policies,Policy: Work from Home — Employees must comply. Review annually.,Sarah Johnson,Published,45629,45044
KB0010049,Printer Setup and Troubleshooting,IT Infrastructure & Endpoint Management Knowledge Base,IT Infrastructure,Process: 1) Check connectivity 2) Update client 3) Verify credentials 4) Reboot device 5) Retry.,John Smith,Archived,45908,45250
KB0010050,Password Policy Overview,Data Platforms & Database Operations Knowledge Base,Database,Steps: 1) Open Power BI 2) Go to Settings 3) Select Incidents 4) Apply changes 5) Restart application.,Lisa Anderson,Published,45970,45458
KB0010051,Raise incident in ServiceNow,Business Applications & Productivity Knowledge Base,Applications,Process: 1) Check connectivity 2) Update client 3) Verify credentials 4) Reboot device 5) Retry.,Arjun Mehta,Published,45419,45327
KB0010052,Raise incident in ServiceNow,Operational Best Practices & Productivity Knowledge Base,Best Practices,"Troubleshooting: Check logs at %APPDATA%/Salesforce/logs, clear cache, reinstall if crash continues.",Sarah Johnson,Draft,45768,45506
KB0010053,Printer Setup and Troubleshooting,Corporate Policies & Governance Knowledge Base,Policies,Process: 1) Check connectivity 2) Update client 3) Verify credentials 4) Reboot device 5) Retry.,Arjun Mehta,Published,46127,45552
KB0010054,Install Salesforce Client,Endpoint Hardware & Device Management Knowledge Base,Hardware,Process: 1) Check connectivity 2) Update client 3) Verify credentials 4) Reboot device 5) Retry.,Priya Kapoor,Draft,46675,45981
KB0010055,Reset Confluence Password,Operational Best Practices & Productivity Knowledge Base,Best Practices,Policy: Incident Response — Employees must comply. Review annually.,Emily Davis,Draft,45796,45579
KB0010056,Raise incident in ServiceNow,IT Infrastructure & Endpoint Management Knowledge Base,IT Infrastructure,Process: 1) Check connectivity 2) Update client 3) Verify credentials 4) Reboot device 5) Retry.,Robert Brown,Draft,46097,45579
KB0010057,Data Retention and Deletion Policies,ServiceNow Platform User Guide & How‑To Knowledge Base,How-To,Process: 1) Check connectivity 2) Update client 3) Verify credentials 4) Reboot device 5) Retry.,Jennifer Taylor,Archived,45381,44987
KB0010058,Configure Power BI Notifications,Human Resources Policies & Benefits Knowledge Base,HR Policies,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",Sarah Johnson,Draft,46475,46024
KB0010059,Raise incident in ServiceNow,Information Security & Compliance Knowledge Base,Security,"Troubleshooting: Check logs at %APPDATA%/Outlook/logs, clear cache, reinstall if crash continues.",Priya Kapoor,Published,45815,45146
KB0010060,OneDrive Troubleshooting,ServiceNow Platform User Guide & How‑To Knowledge Base,How-To,Steps: 1) Open Zoom 2) Go to Settings 3) Select Security 4) Apply changes 5) Restart application.,John Smith,Draft,45617,45275
KB0010061,Incident Response Policy Overview,IT Support & Troubleshooting Knowledge Base,Troubleshooting,Steps: 1) Open Zoom 2) Go to Settings 3) Select Integrations 4) Apply changes 5) Restart application.,Emily Davis,Archived,45887,45810
KB0010062,Setup Multi-Factor Authentication,IT Infrastructure & Endpoint Management Knowledge Base,IT Infrastructure,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",Lisa Anderson,Draft,46196,45591
KB0010063,Configure Zoom Notifications,IT Support & Troubleshooting Knowledge Base,Troubleshooting,How-To: Navigate to ServiceNow > Self Service > Integrations. Fill details and submit.,Priya Kapoor,Draft,45592,45100
KB0010064,Raise incident in ServiceNow,Enterprise Network & Connectivity Knowledge Base,Network,How-To: Navigate to ServiceNow > Self Service > Incidents. Fill details and submit.,Jennifer Taylor,Draft,45436,45339
KB0010065,Printer Setup and Troubleshooting,Enterprise Network & Connectivity Knowledge Base,Network,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",Arjun Mehta,Published,45799,45447
KB0010066,Install Zoom Client,Data Platforms & Database Operations Knowledge Base,Database,How-To: Navigate to ServiceNow > Self Service > VPN. Fill details and submit.,John Smith,Archived,45725,45311
KB0010067,Printer Setup and Troubleshooting,Business Applications & Productivity Knowledge Base,Applications,How-To: Navigate to ServiceNow > Self Service > Security. Fill details and submit.,Sarah Johnson,Published,46174,45782
KB0010068,Data Retention and Deletion Policies,IT Support & Troubleshooting Knowledge Base,Troubleshooting,How-To: Navigate to ServiceNow > Self Service > Requests. Fill details and submit.,David Wilson,Draft,45539,45269
KB0010069,Printer Setup and Troubleshooting,Human Resources Policies & Benefits Knowledge Base,HR Policies,Process: 1) Check connectivity 2) Update client 3) Verify credentials 4) Reboot device 5) Retry.,David Wilson,Archived,45510,45240
KB0010070,Data Retention and Deletion Policies,Endpoint Hardware & Device Management Knowledge Base,Hardware,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",Emily Davis,Archived,45534,45055
KB0010071,Printer Setup and Troubleshooting,IT Infrastructure & Endpoint Management Knowledge Base,IT Infrastructure,Process: 1) Check connectivity 2) Update client 3) Verify credentials 4) Reboot device 5) Retry.,Mike Chen,Published,45697,45569
KB0010072,Printer Setup and Troubleshooting,Information Security & Compliance Knowledge Base,Security,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",John Smith,Archived,45599,45466
KB0010073,Install OneDrive Client,Enterprise Network & Connectivity Knowledge Base,Network,How-To: Navigate to ServiceNow > Self Service > Knowledge. Fill details and submit.,Lisa Anderson,Draft,45313,44995
KB0010074,Access ServiceNow via VPN,Endpoint Hardware & Device Management Knowledge Base,Hardware,Steps: 1) Open Git 2) Go to Settings 3) Select Security 4) Apply changes 5) Restart application.,Priya Kapoor,Archived,46529,45943
KB0010075,Data Classification Policy Overview,Enterprise Network & Connectivity Knowledge Base,Network,Process: 1) Check connectivity 2) Update client 3) Verify credentials 4) Reboot device 5) Retry.,Priya Kapoor,Draft,45165,44965
KB0010076,Install Teams Client,ServiceNow Platform User Guide & How‑To Knowledge Base,How-To,"Troubleshooting: Check logs at %APPDATA%/Power BI/logs, clear cache, reinstall if crash continues.",David Wilson,Published,46015,45569
KB0010077,Password Policy Overview,Human Resources Policies & Benefits Knowledge Base,HR Policies,Steps: 1) Open Teams 2) Go to Settings 3) Select VPN 4) Apply changes 5) Restart application.,Priya Kapoor,Draft,45969,45463
KB0010078,Raise incident in ServiceNow,ServiceNow Platform User Guide & How‑To Knowledge Base,How-To,How-To: Navigate to ServiceNow > Self Service > Requests. Fill details and submit.,Jennifer Taylor,Draft,45381,45317
KB0010079,Setup Multi-Factor Authentication,ServiceNow Platform User Guide & How‑To Knowledge Base,How-To,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",Priya Kapoor,Draft,45689,45290
KB0010080,Access Power BI via VPN,Information Security & Compliance Knowledge Base,Security,Steps: 1) Open OneDrive 2) Go to Settings 3) Select Requests 4) Apply changes 5) Restart application.,Lisa Anderson,Archived,45413,45160
KB0010081,ServiceNow Troubleshooting,Operational Best Practices & Productivity Knowledge Base,Best Practices,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",Emily Davis,Draft,45783,45278
KB0010082,Install OneDrive Client,Information Security & Compliance Knowledge Base,Security,Steps: 1) Open Salesforce 2) Go to Settings 3) Select Notifications 4) Apply changes 5) Restart application.,Priya Kapoor,Published,46215,45960
KB0010083,Data Classification Policy Overview,Information Security & Compliance Knowledge Base,Security,Policy: Password — Employees must comply. Review annually.,Sarah Johnson,Archived,46044,45776
KB0010084,Install OneDrive Client,ServiceNow Platform User Guide & How‑To Knowledge Base,How-To,How-To: Navigate to ServiceNow > Self Service > Security. Fill details and submit.,Priya Kapoor,Archived,45595,45160
KB0010085,Data Retention and Deletion Policies,IT Support & Troubleshooting Knowledge Base,Troubleshooting,How-To: Navigate to ServiceNow > Self Service > Incidents. Fill details and submit.,David Wilson,Draft,46072,45428
KB0010086,Access ServiceNow via VPN,IT Support & Troubleshooting Knowledge Base,Troubleshooting,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",Robert Brown,Archived,46466,45928
KB0010087,Raise incident in ServiceNow,Operational Best Practices & Productivity Knowledge Base,Best Practices,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",Priya Kapoor,Draft,46226,45583
KB0010088,Configure Slack Notifications,Endpoint Hardware & Device Management Knowledge Base,Hardware,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",Lisa Anderson,Draft,46070,45670
KB0010089,Data Retention and Deletion Policies,Enterprise Network & Connectivity Knowledge Base,Network,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",Lisa Anderson,Draft,46199,45672
KB0010090,Data Retention and Deletion Policies,Information Security & Compliance Knowledge Base,Security,Policy: Work from Home — Employees must comply. Review annually.,David Wilson,Published,45695,45017
KB0010091,Access Outlook via VPN,Data Platforms & Database Operations Knowledge Base,Database,How-To: Navigate to ServiceNow > Self Service > Knowledge. Fill details and submit.,Robert Brown,Draft,46150,45786
KB0010092,Printer Setup and Troubleshooting,Business Applications & Productivity Knowledge Base,Applications,"Troubleshooting: Check logs at %APPDATA%/Salesforce/logs, clear cache, reinstall if crash continues.",Emily Davis,Archived,46296,45885
KB0010093,Data Retention and Deletion Policies,IT Support & Troubleshooting Knowledge Base,Troubleshooting,How-To: Navigate to ServiceNow > Self Service > Integrations. Fill details and submit.,Mike Chen,Published,46076,45676
KB0010094,Configure Teams Notifications,IT Infrastructure & Endpoint Management Knowledge Base,IT Infrastructure,Policy: Incident Response — Employees must comply. Review annually.,Arjun Mehta,Published,45318,45071
KB0010095,Printer Setup and Troubleshooting,Endpoint Hardware & Device Management Knowledge Base,Hardware,"Troubleshooting: Check logs at %APPDATA%/Outlook/logs, clear cache, reinstall if crash continues.",Lisa Anderson,Archived,46110,45594
KB0010096,Access Slack via VPN,Operational Best Practices & Productivity Knowledge Base,Best Practices,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",Jennifer Taylor,Draft,46088,45687
KB0010097,Setup Multi-Factor Authentication,Operational Best Practices & Productivity Knowledge Base,Best Practices,Steps: 1) Open Teams 2) Go to Settings 3) Select Notifications 4) Apply changes 5) Restart application.,Robert Brown,Draft,45888,45159
KB0010098,Teams Troubleshooting,Endpoint Hardware & Device Management Knowledge Base,Hardware,How-To: Navigate to ServiceNow > Self Service > Knowledge. Fill details and submit.,Lisa Anderson,Draft,45940,45288
KB0010099,Setup Multi-Factor Authentication,Data Platforms & Database Operations Knowledge Base,Database,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",Sarah Johnson,Draft,45839,45145
KB0010100,Data Retention and Deletion Policies,Operational Best Practices & Productivity Knowledge Base,Best Practices,"Security: Enable MFA, use strong passwords (12+ chars), and report suspicious activity.",Jennifer Taylor,Published,46169,45807
